account_id,alert_date,source,note
ACC2004,2026-07-14,Internal Compliance,"Relationship manager escalation: customer executed three RTGS transfers of just under Rs 10,00,000 each on consecutive days to the same counterparty. When queried, customer was evasive about the purpose and declined to provide supporting invoices. Declared occupation does not plausibly support this volume."
ACC300,2026-08-03,Transaction Monitoring,Automated alert: this account is one of six newly-opened accounts observed remitting identical amounts to a single beneficiary within a six hour window. Pattern is consistent with a funnel/mule network. Recommend linking all six accounts into one case.
ACC2007,2026-07-29,Sanctions Screening,"Wire transfer counterparty resolved to a jurisdiction subject to comprehensive sanctions. Payment was routed through an intermediary bank. Screening hit is a true positive on the jurisdiction, not a name match. Escalating to the sanctions desk."
ACC2010,2026-08-01,Adverse Media,Open-source search returns news articles associating the counterparty 'Golden Casino Online' with an unlicensed gambling operation currently under investigation by state authorities. No direct allegation against the customer at this time.
ACC2012,2027-01-17,Transaction Monitoring,Account was effectively dormant for approximately six months before a single large outbound transfer. Customer contact details on file are stale and the registered mobile number is unreachable. Possible account takeover — recommend step-up verification.
ACC100046,2026-06-16,Sanctions Screening,Card transaction settled in a sanctioned jurisdiction. Customer has not filed any travel notification and no prior foreign activity exists on this account. Treat as high priority.
ACC100031,2026-06-07,Adverse Media,Media monitoring flagged a person of the same name and approximate age in reporting on an ongoing financial-crime probe. Identity match is NOT confirmed — name is common and no corroborating identifiers were found. Analyst judgement required before any action.
ACC100028,2026-06-05,Internal Compliance,Very large value transfer materially inconsistent with the income declared at onboarding. No source-of-funds documentation is held on file for this relationship.
ACC2009,2026-07-31,Fraud Operations,Two card-present transactions in different countries roughly twenty minutes apart. This is not physically possible; one leg is almost certainly counterfeit or a cloned card. Card has been blocked pending customer contact.
ACC1003,2026-08-06,Customer Service,Customer called to update their registered email address after changing employer. Identity verified via standard callback procedure. No concerns noted.
ACC1010,2026-07-22,Internal Compliance,Periodic KYC refresh completed on schedule. Documentation is current and consistent with the customer profile. No action required.
ACC1017,2026-08-09,Transaction Monitoring,Threshold alert auto-closed. Elevated spend traced to a documented festival-season retail purchase pattern consistent with prior years. False positive.
ACC2008,2026-07-30,Transaction Monitoring,Foreign card usage at an international airport duty-free outlet. Customer had filed a travel notification covering these dates. Consistent with declared travel; no concern.
