transaction_id,account_id,date,amount,merchant,country,transaction_type
TXN000001,ACC100002,2026-06-06 09:36:00,148335.94,Zomato,India,NEFT
TXN000002,ACC100044,2026-06-05 23:57:00,148159.48,IRCTC,India,ATM Withdrawal
TXN000003,ACC100002,2026-06-02 18:42:00,18829.68,Zomato,Singapore,UPI
TXN000004,ACC100013,2026-06-26 21:01:00,143232.32,Croma,India,RTGS
TXN000005,ACC100038,2026-06-21 18:39:00,55710.32,Amazon India,India,ATM Withdrawal
TXN000006,ACC100018,2026-06-16 19:38:00,31180.35,Tata CliQ,India,IMPS
TXN000007,ACC100025,2026-06-05 13:18:00,19433.6,DMart,India,UPI
TXN000008,ACC100035,2026-06-22 05:48:00,25052.75,Big Bazaar,India,Net Banking
TXN000009,ACC100041,2026-06-14 16:13:00,123742.1,DMart,India,IMPS
TXN000010,ACC100043,2026-06-03 10:03:00,45656.87,Reliance Fresh,India,RTGS
TXN000011,ACC100025,2026-06-05 22:19:00,55666.92,Jio,India,NEFT
TXN000012,ACC100023,2026-06-18 04:20:00,41980.46,Reliance Fresh,India,NEFT
TXN000013,ACC100047,2026-06-25 15:25:00,49037.7,Apollo Pharmacy,India,Debit Card
TXN000014,ACC100015,2026-06-26 16:20:00,136954.39,Tata CliQ,India,RTGS
TXN000015,ACC100021,2026-06-02 19:03:00,80292.84,Flipkart,India,Credit Card
TXN000016,ACC100042,2026-06-11 00:14:00,99896.33,Jio,India,NEFT
TXN000017,ACC100009,2026-06-13 09:19:00,49400.84,IRCTC,Germany,Debit Card
TXN000018,ACC100028,2026-06-27 22:31:00,179574.79,Big Bazaar,India,RTGS
TXN000019,ACC100033,2026-06-07 15:05:00,98753.82,Tata CliQ,India,IMPS
TXN000020,ACC100041,2026-06-08 06:56:00,32080.4,Jio,India,IMPS
TXN000021,ACC100025,2026-06-18 20:16:00,119218.1,Apollo Pharmacy,Singapore,Debit Card
TXN000022,ACC100001,2026-06-26 12:16:00,136088.65,Flipkart,Australia,Debit Card
TXN000023,ACC100008,2026-06-16 19:33:00,58770.68,Swiggy,India,UPI
TXN000024,ACC100033,2026-06-13 07:41:00,152416.24,IRCTC,India,Debit Card
TXN000025,ACC100039,2026-06-24 10:30:00,39862.33,DMart,India,Net Banking
TXN000026,ACC100001,2026-06-25 11:17:00,119829.02,Apollo Pharmacy,India,IMPS
TXN000027,ACC100020,2026-06-17 20:28:00,47966.52,Zomato,India,IMPS
TXN000028,ACC100005,2026-06-23 10:49:00,195599.1,IRCTC,India,NEFT
TXN000029,ACC100036,2026-06-22 23:08:00,33108.88,IRCTC,India,RTGS
TXN000030,ACC100049,2026-06-25 21:03:00,146013.22,Zomato,India,ATM Withdrawal
TXN000031,ACC100029,2026-06-18 07:52:00,179932.86,Apollo Pharmacy,India,RTGS
TXN000032,ACC100005,2026-06-11 13:25:00,67683.3,Airtel,India,RTGS
TXN000033,ACC100005,2026-06-01 15:51:00,141597.41,Amazon India,India,IMPS
TXN000034,ACC100022,2026-06-02 18:18:00,14264.38,Zomato,India,POS
TXN000035,ACC100035,2026-06-11 02:00:00,26549.14,Airtel,UK,RTGS
